ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
A268,Other forms of erysipeloid,No,,
A269,"Erysipeloid, unspecified",No,,
A270,Leptospirosis icterohaemorrhagica,No,,
A278,Other forms of leptospirosis,No,,
A279,"Leptospirosis, unspecified",No,,
A280,Pasteurellosis,No,,
A281,Cat-scratch disease,No,,
A282,Extraintestinal yersiniosis,No,,
A288,"Other specified zoonotic bacterial diseases, not elsewhere classified",No,,
A289,"Zoonotic bacterial disease, unspecified",No,,
A300,Indeterminate leprosy,Yes,1,
A301,Tuberculoid leprosy,Yes,1,
A302,Borderline tuberculoid leprosy,Yes,1,
A303,Borderline leprosy,Yes,1,
A304,Borderline lepromatous leprosy,Yes,1,
A305,Lepromatous leprosy,Yes,1,
A308,Other forms of leprosy,Yes,1,
A309,"Leprosy, unspecified",Yes,1,
A310,Pulmonary mycobacterial infection,Yes,1,AGP
A311,Cutaneous mycobacterial infection,No,,
A318,Other mycobacterial infections,No,,
A319,"Mycobacterial infection, unspecified",No,,
A320,Cutaneous listeriosis,No,,
A321,Listerial meningitis and meningoencephalitis,No,,
A327,Listerial sepsis,No,,
A328,Other forms of listeriosis,No,,
A329,"Listeriosis, unspecified",No,,
A33X,Tetanus neonatorum,No,,
A34X,Obstetrical tetanus,No,,
A35X,Other tetanus,No,,
A360,Pharyngeal diphtheria,Yes,1,Difficult airway
A361,Nasopharyngeal diphtheria,Yes,1,Difficult airway
A362,Laryngeal diphtheria,No,,
A363,Cutaneous diphtheria,No,,
A368,Other diphtheria,No,,
A369,"Diphtheria, unspecified",Yes,1,Difficult airway
A370,Whooping cough due to Bordetella pertussis,No,,
A371,Whooping cough due to Bordetella parapertussis,No,,
A378,Whooping cough due to other Bordetella species,No,,
A379,"Whooping cough, unspecified",No,,
A38X,Scarlet fever,No,,
A390,Meningococcal meningitis,Yes,1,
A391,Waterhouse-Friderichsen syndrome,Yes,2,
A392,Acute meningococcaemia,Yes,1,
A393,Chronic meningococcaemia,No,,
A394,"Meningococcaemia, unspecified",Yes,1,
A395,Meningococcal heart disease,Yes,1,
A398,Other meningococcal infections,No,,
A399,"Meningococcal infection, unspecified",Yes,1,
A400,"Sepsis due to streptococcus, group A",No,,
A401,"Sepsis due to streptococcus, group B",No,,
A402,"Sepsis due to streptococcus, group D",No,,
A403,Sepsis due to Streptococcus pneumoniae,No,,
A408,Other streptococcal sepsis,No,,
A409,"Streptococcal sepsis, unspecified",No,,
A410,Sepsis due to Staphylococcus aureus,No,,
A411,Sepsis due to other specified staphylococcus,No,,
A412,Sepsis due to unspecified staphylococcus,No,,
A413,Sepsis due to Haemophilus influenzae,No,,
A414,Sepsis due to anaerobes,No,,
A415,Sepsis due to other Gram-negative organisms,No,,
A418,Other specified sepsis,No,,
A419,"Sepsis, unspecified",No,,
A420,Pulmonary actinomycosis,Yes,1,
A421,Abdominal actinomycosis,No,,
A422,Cervicofacial actinomycosis,No,,
A427,Actinomycotic sepsis,No,,
A428,Other forms of actinomycosis,No,,
A429,"Actinomycosis, unspecified",No,,
A430,Pulmonary nocardiosis,Yes,1,
A431,Cutaneous nocardiosis,No,,
A438,Other forms of nocardiosis,No,,
A439,"Nocardiosis, unspecified",No,,
A440,Systemic bartonellosis,No,,
A441,Cutaneous and mucocutaneous bartonellosis,No,,
A448,Other forms of bartonellosis,No,,
A449,"Bartonellosis, unspecified",No,,
A46X,Erysipelas,No,,
A480,Gas gangrene,No,,
A481,Legionnaires disease,Yes,1,
A482,Nonpneumonic Legionnaires disease [Pontiac fever],No,,
A483,Toxic shock syndrome,Yes,1,
A484,Brazilian purpuric fever,No,,
A488,Other specified bacterial diseases,No,,
A490,"Staphylococcal infection, unspecified site",No,,
A491,"Streptococcal and enterococcal infection, unspecified site",No,,
A492,"Haemophilus influenzae infection, unspecified site",No,,
A493,"Mycoplasma infection, unspecified site",Yes,1,AGP
A498,Other bacterial infections of unspecified site,No,,
A499,"Bacterial infection, unspecified",No,,
A500,"Early congenital syphilis, symptomatic",No,,
A501,"Early congenital syphilis, latent",No,,
A502,"Early congenital syphilis, unspecified",No,,
A503,Late congenital syphilitic oculopathy,No,,
A504,Late congenital neurosyphilis [juvenile neurosyphilis],No,,
A505,"Other late congenital syphilis, symptomatic",No,,
A506,"Late congenital syphilis, latent",No,,
A507,"Late congenital syphilis, unspecified",No,,
A509,"Congenital syphilis, unspecified",No,,
A510,Primary genital syphilis,No,,
A511,Primary anal syphilis,No,,
A512,Primary syphilis of other sites,No,,
A513,Secondary syphilis of skin and mucous membranes,No,,
A514,Other secondary syphilis,No,,
A515,"Early syphilis, latent",No,,
A519,"Early syphilis, unspecified",No,,
A520,Cardiovascular syphilis,No,,
A521,Symptomatic neurosyphilis,No,,
A522,Asymptomatic neurosyphilis,No,,
A523,"Neurosyphilis, unspecified",No,,
A527,Other symptomatic late syphilis,No,,
A528,"Late syphilis, latent",No,,
A529,"Late syphilis, unspecified",No,,
A530,"Latent syphilis, unspecified as early or late",No,,
A539,"Syphilis, unspecified",No,,
A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,No,,
A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,No,,
A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,No,,
A543,Gonococcal infection of eye,No,,
A544,Gonococcal infection of musculoskeletal system,No,,
A545,Gonococcal pharyngitis,Yes,1,
A546,Gonococcal infection of anus and rectum,No,,
A548,Other gonococcal infections,No,,
A549,"Gonococcal infection, unspecified",No,,
A55X,Chlamydial lymphogranuloma (venereum),No,,
A560,Chlamydial infection of lower genitourinary tract,No,,
A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,No,,
A562,"Chlamydial infection of genitourinary tract, unspecified",No,,
A563,Chlamydial infection of anus and rectum,No,,
A564,Chlamydial infection of pharynx,Yes,1,
A568,Sexually transmitted chlamydial infection of other sites,No,,
A57X,Chancroid,No,,
A58X,Granuloma inguinale,No,,
A590,Urogenital trichomoniasis,No,,
A598,Trichomoniasis of other sites,No,,
A599,"Trichomoniasis, unspecified",No,,
A600,Herpesviral infection of genitalia and urogenital tract,No,,
A601,Herpesviral infection of perianal skin and rectum,No,,
A609,"Anogenital herpesviral infection, unspecified",No,,
A630,Anogenital (venereal) warts,No,,
A638,Other specified predominantly sexually transmitted diseases,No,,
A64X,Unspecified sexually transmitted disease,No,,
A65X,Nonvenereal syphilis,No,,
A660,Initial lesions of yaws,No,,
A661,Multiple papillomata and wet crab yaws,No,,
A662,Other early skin lesions of yaws,No,,
A663,Hyperkeratosis of yaws,No,,
A664,Gummata and ulcers of yaws,No,,
A665,Gangosa,No,,
A666,Bone and joint lesions of yaws,No,,
A667,Other manifestations of yaws,No,,
A668,Latent yaws,No,,
A669,"Yaws, unspecified",No,,
A670,Primary lesions of pinta,No,,
A671,Intermediate lesions of pinta,No,,
A672,Late lesions of pinta,No,,
A673,Mixed lesions of pinta,No,,
A679,"Pinta, unspecified",No,,
A680,Louse-borne relapsing fever,No,,
A681,Tick-borne relapsing fever,No,,
A689,"Relapsing fever, unspecified",No,,
A690,Necrotizing ulcerative stomatitis,No,,
A691,Other Vincent infections,No,,
A692,Lyme disease,No,,
A698,Other specified spirochaetal infections,No,,
A699,"Spirochaetal infection, unspecified",No,,
A70X,Chlamydia psittaci infection,No,,
A710,Initial stage of trachoma,No,,
A711,Active stage of trachoma,No,,
A719,"Trachoma, unspecified",No,,
A740,Chlamydial conjunctivitis,No,,
A748,Other chlamydial diseases,No,,
A749,"Chlamydial infection, unspecified",No,,
A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,No,,
A751,Recrudescent typhus [Brill disease],No,,
A752,Typhus fever due to Rickettsia typhi,No,,
A753,Typhus fever due to Rickettsia tsutsugamushi,No,,
A759,"Typhus fever, unspecified",No,,
A770,Spotted fever due to Rickettsia rickettsii,No,,
A771,Spotted fever due to Rickettsia conorii,No,,
A772,Spotted fever due to Rickettsia sibirica,No,,
A773,Spotted fever due to Rickettsia australis,No,,
A778,Other spotted fevers,No,,
A779,"Spotted fever, unspecified",No,,
A78X,Q fever,No,,
A790,Trench fever,No,,
A791,Rickettsialpox due to Rickettsia akari,No,,
A798,Other specified rickettsioses,No,,
A799,"Rickettsiosis, unspecified",No,,
A800,"Acute paralytic poliomyelitis, vaccine-associated",Yes,2,
A801,"Acute paralytic poliomyelitis, wild virus, imported",Yes,2,
A802,"Acute paralytic poliomyelitis, wild virus, indigenous",Yes,2,
A803,"Acute paralytic poliomyelitis, other and unspecified",Yes,2,
A804,Acute nonparalytic poliomyelitis,Yes,2,
A809,"Acute poliomyelitis, unspecified",Yes,2,
A810,Creutzfeldt-Jakob disease,Yes,2,
A811,Subacute sclerosing panencephalitis,Yes,2,
A812,Progressive multifocal leukoencephalopathy,Yes,2,
A818,Other atypical virus infections of central nervous system,Yes,2,
A819,"Atypical virus infection of central nervous system, unspecified",Yes,2,
A820,Sylvatic rabies,No,,
A821,Urban rabies,No,,
A829,"Rabies, unspecified",No,,
A830,Japanese encephalitis,Yes,1,
A831,Western equine encephalitis,Yes,1,
A832,Eastern equine encephalitis,Yes,1,
A833,St Louis encephalitis,Yes,1,
A834,Australian encephalitis,Yes,1,
A835,California encephalitis,Yes,1,
A836,Rocio virus disease,Yes,1,
A838,Other mosquito-borne viral encephalitis,Yes,1,
A839,"Mosquito-borne viral encephalitis, unspecified",Yes,1,
A840,Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis],Yes,1,
A841,Central European tick-borne encephalitis,Yes,1,
A848,Other tick-borne viral encephalitis,Yes,1,
A849,"Tick-borne viral encephalitis, unspecified",Yes,1,
A850,Enteroviral encephalitis,Yes,1,
A851,Adenoviral encephalitis,Yes,1,
A852,"Arthropod-borne viral encephalitis, unspecified",Yes,1,
A858,Other specified viral encephalitis,Yes,1,
A86X,Unspecified viral encephalitis,Yes,1,
A870,Enteroviral meningitis,Yes,1,
A871,Adenoviral meningitis,Yes,1,
A872,Lymphocytic choriomeningitis,Yes,1,
A878,Other viral meningitis,Yes,1,
A879,"Viral meningitis, unspecified",Yes,1,
A880,Enteroviral exanthematous fever [Boston exanthem],Yes,1,Oral ulceration
A881,Epidemic vertigo,No,,
A888,Other specified viral infections of central nervous system,Yes,1,
A89X,Unspecified viral infection of central nervous system,Yes,1,
A920,Chikungunya virus disease,No,,
A921,O'nyong-nyong fever,No,,
A922,Venezuelan equine fever,No,,
A923,West Nile virus infection,No,,
A924,Rift Valley fever,No,,
A928,Other specified mosquito-borne viral fevers,No,,
A929,"Mosquito-borne viral fever, unspecified",No,,
A930,Oropouche virus disease,No,,
A931,Sandfly fever,No,,
A932,Colorado tick fever,No,,
A938,Other specified arthropod-borne viral fevers,No,,
A94X,Unspecified arthropod-borne viral fever,No,,
A950,Sylvatic yellow fever,No,,
A951,Urban yellow fever,No,,
A959,"Yellow fever, unspecified",No,,
A960,Junin haemorrhagic fever,Yes,2,
A961,Machupo haemorrhagic fever,Yes,2,
A962,Lassa fever,Yes,2,PPE
A968,Other arenaviral haemorrhagic fevers,Yes,2,
A969,"Arenaviral haemorrhagic fever, unspecified",Yes,2,
A970,Dengue without warning signs,Yes,1,
A971,Dengue with warning signs,Yes,1,
A972,Severe Dengue,Yes,2,
A979,"Dengue, unspecified",Yes,1,
A980,Crimean-Congo haemorrhagic fever,Yes,2,
A981,Omsk haemorrhagic fever,Yes,2,
A982,Kyasanur Forest disease,Yes,2,
A983,Marburg virus disease,Yes,2,
A984,Ebola virus disease,Yes,2,
A985,Haemorrhagic fever with renal syndrome,Yes,2,
A988,Other specified viral haemorrhagic fevers,Yes,2,
A99X,Unspecified viral haemorrhagic fever,Yes,2,
B000,Eczema herpeticum,No,,
B001,Herpesviral vesicular dermatitis,No,,
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,Yes,1,
B003,Herpesviral meningitis,Yes,1,
B004,Herpesviral encephalitis,Yes,1,
B005,Herpesviral ocular disease,No,,
B007,Disseminated herpesviral disease,Yes,1,
B008,Other forms of herpesviral infection,No,,
B009,"Herpesviral infection, unspecified",No,,
B010,Varicella meningitis,Yes,1,
B011,Varicella encephalitis,Yes,1,
B012,Varicella pneumonia,Yes,2,
B018,Varicella with other complications,No,,
B019,Varicella without complication,No,,
B020,Zoster encephalitis,Yes,1,
B021,Zoster meningitis,Yes,1,
B022,Zoster with other nervous system involvement,Yes,1,
B023,Zoster ocular disease,No,,
B027,Disseminated zoster,Yes,1,
B028,Zoster with other complications,No,,
B029,Zoster without complication,No,,
B03X,Smallpox,Yes,1,
B04X,Monkeypox,Yes,1,
B050,Measles complicated by encephalitis,Yes,1,
B051,Measles complicated by meningitis,Yes,1,
B052,Measles complicated by pneumonia,Yes,1,
B053,Measles complicated by otitis media,No,,
B054,Measles with intestinal complications,No,,
B058,Measles with other complications,No,,
B059,Measles without complication,No,,
B060,Rubella with neurological complications,No,,
B068,Rubella with other complications,No,,
B069,Rubella without complication,No,,
B07X,Viral warts,No,,
B080,Other orthopoxvirus infections,No,,
B081,Molluscum contagiosum,No,,
B082,Exanthema subitum [sixth disease],No,,
B083,Erythema infectiosum [fifth disease],No,,
B084,Enteroviral vesicular stomatitis with exanthem,No,,
B085,Enteroviral vesicular pharyngitis,Yes,1,
B088,Other specified viral infections characterized by skin and mucous membrane lesions,No,,
B09X,Unspecified viral infection characterized by skin and mucous membrane lesions,No,,
B150,Hepatitis A with hepatic coma,Yes,1,
B159,Hepatitis A without hepatic coma,No,,
B160,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,Yes,1,
B161,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,No,,
B162,Acute hepatitis B without delta-agent with hepatic coma,Yes,1,
B169,Acute hepatitis B without delta-agent and without hepatic coma,No,,
B170,Acute delta-(super)infection of hepatitis B carrier,No,,
B171,Acute hepatitis C,No,,
B172,Acute hepatitis E,No,,
B178,Other specified acute viral hepatitis,No,,
B179,"Acute viral hepatitis, unspecified",No,,
B180,Chronic viral hepatitis B with delta-agent,No,,
B181,Chronic viral hepatitis B without delta-agent,No,,
B182,Chronic viral hepatitis C,No,,
B188,Other chronic viral hepatitis,No,,
B189,"Chronic viral hepatitis, unspecified",No,,
B190,Unspecified viral hepatitis with hepatic coma,Yes,1,
B199,Unspecified viral hepatitis without hepatic coma,No,,
B200,HIV disease resulting in mycobacterial infection,Yes,1,
B201,HIV disease resulting in other bacterial infections,No,,
B202,HIV disease resulting in cytomegaloviral disease,No,,
B203,HIV disease resulting in other viral infections,No,,
B204,HIV disease resulting in candidiasis,No,,
B205,HIV disease resulting in other mycoses,No,,
B206,HIV disease resulting in Pneumocystis jirovecii pneumonia,Yes,1,
B207,HIV disease resulting in multiple infections,No,,
B208,HIV disease resulting in other infectious and parasitic diseases,No,,
B209,HIV disease resulting in unspecified infectious or parasitic disease,No,,
B210,HIV disease resulting in Kaposi sarcoma,No,,
B211,HIV disease resulting in Burkitt lymphoma,No,,
B212,HIV disease resulting in other types of non-Hodgkin lymphoma,No,,
B213,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",No,,
B217,HIV disease resulting in multiple malignant neoplasms,No,,
B218,HIV disease resulting in other malignant neoplasms,No,,
B219,HIV disease resulting in unspecified malignant neoplasm,No,,
B220,HIV disease resulting in encephalopathy,Yes,1,
B221,HIV disease resulting in lymphoid interstitial pneumonitis,Yes,1,
B222,HIV disease resulting in wasting syndrome,Yes,1,
B227,HIV disease resulting in multiple diseases classified elsewhere,No,,
B230,Acute HIV infection syndrome,No,,
B231,HIV disease resulting in (persistent) generalized lymphadenopathy,No,,
B232,"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified",No,,
B238,HIV disease resulting in other specified conditions,No,,
B24X,Unspecified human immunodeficiency virus [HIV] disease,No,,
B250,Cytomegaloviral pneumonitis,Yes,1,
B251,Cytomegaloviral hepatitis,No,,
B252,Cytomegaloviral pancreatitis,No,,
B258,Other cytomegaloviral diseases,No,,
B259,"Cytomegaloviral disease, unspecified",No,,
B260,Mumps orchitis,No,,
B261,Mumps meningitis,Yes,1,
B262,Mumps encephalitis,Yes,1,
B263,Mumps pancreatitis,No,,
B268,Mumps with other complications,No,,
B269,Mumps without complication,No,,
B270,Gammaherpesviral mononucleosis,No,,
B271,Cytomegaloviral mononucleosis,No,,
B278,Other infectious mononucleosis,No,,
B279,"Infectious mononucleosis, unspecified",No,,
B300,Keratoconjunctivitis due to adenovirus,No,,
B301,Conjunctivitis due to adenovirus,No,,
B302,Viral pharyngoconjunctivitis,Yes,1,
B303,Acute epidemic haemorrhagic conjunctivitis (enteroviral),No,,
B308,Other viral conjunctivitis,No,,
B309,"Viral conjunctivitis, unspecified",No,,
B330,Epidemic myalgia,No,,
B331,Ross River disease,No,,
B332,Viral carditis,Yes,1,
B333,"Retrovirus infections, not elsewhere classified",No,,
B334,Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS],Yes,1,
B338,Other specified viral diseases,No,,
B340,"Adenovirus infection, unspecified site",No,,
B341,"Enterovirus infection, unspecified site",No,,
B342,"Coronavirus infection, unspecified site",Yes,1,
B343,"Parvovirus infection, unspecified site",No,,
B344,"Papovavirus infection, unspecified site",No,,
B348,Other viral infections of unspecified site,No,,
B349,"Viral infection, unspecified",No,,
B350,Tinea barbae and tinea capitis,No,,
B351,Tinea unguium,No,,
B352,Tinea manuum,No,,
B353,Tinea pedis,No,,
B354,Tinea corporis,No,,
B355,Tinea imbricata,No,,
B356,Tinea inguinalis [Tinea cruris],No,,
B358,Other dermatophytoses,No,,
B359,"Dermatophytosis, unspecified",No,,
B360,Pityriasis versicolor,No,,
B361,Tinea nigra,No,,
B362,White piedra,No,,
B363,Black piedra,No,,
B368,Other specified superficial mycoses,No,,
B369,"Superficial mycosis, unspecified",No,,
B370,Candidal stomatitis,No,,
B371,Pulmonary candidiasis,Yes,1,
B372,Candidiasis of skin and nail,No,,
B373,Candidiasis of vulva and vagina,No,,
B374,Candidiasis of other urogenital sites,No,,
B375,Candidal meningitis,Yes,1,
B376,Candidal endocarditis,Yes,1,
B377,Candidal sepsis,No,,
B378,Candidiasis of other sites,No,,
B379,"Candidiasis, unspecified",No,,
B380,Acute pulmonary coccidioidomycosis,Yes,1,
B381,Chronic pulmonary coccidioidomycosis,Yes,1,
B382,"Pulmonary coccidioidomycosis, unspecified",Yes,1,
B383,Cutaneous coccidioidomycosis,No,,
B384,Coccidioidomycosis meningitis,Yes,1,
B387,Disseminated coccidioidomycosis,Yes,1,
B388,Other forms of coccidioidomycosis,No,,
B389,"Coccidioidomycosis, unspecified",No,,
B390,Acute pulmonary histoplasmosis capsulati,Yes,1,
B391,Chronic pulmonary histoplasmosis capsulati,Yes,1,
B392,"Pulmonary histoplasmosis capsulati, unspecified",No,,
B393,Disseminated histoplasmosis capsulati,Yes,1,
B394,"Histoplasmosis capsulati, unspecified",No,,
B395,Histoplasmosis duboisii,No,,
B399,"Histoplasmosis, unspecified",No,,
B400,Acute pulmonary blastomycosis,Yes,1,
B401,Chronic pulmonary blastomycosis,Yes,1,
B402,"Pulmonary blastomycosis, unspecified",Yes,1,
B403,Cutaneous blastomycosis,No,,
B407,Disseminated blastomycosis,Yes,1,
B408,Other forms of blastomycosis,No,,
B409,"Blastomycosis, unspecified",No,,
B410,Pulmonary paracoccidioidomycosis,Yes,1,
B417,Disseminated paracoccidioidomycosis,Yes,1,
B418,Other forms of paracoccidioidomycosis,No,,
B419,"Paracoccidioidomycosis, unspecified",No,,
B420,Pulmonary sporotrichosis,Yes,1,
B421,Lymphocutaneous sporotrichosis,No,,
B427,Disseminated sporotrichosis,No,,
B428,Other forms of sporotrichosis,No,,
B429,"Sporotrichosis, unspecified",No,,
B430,Cutaneous chromomycosis,No,,
B431,Phaeomycotic brain abscess,Yes,1,
B432,Subcutaneous phaeomycotic abscess and cyst,No,,
B438,Other forms of chromomycosis,No,,
B439,"Chromomycosis, unspecified",No,,
B440,Invasive pulmonary aspergillosis,Yes,1,
B441,Other pulmonary aspergillosis,Yes,1,
B442,Tonsillar aspergillosis,Yes,1,
B447,Disseminated aspergillosis,Yes,1,
B448,Other forms of aspergillosis,No,,
B449,"Aspergillosis, unspecified",No,,
B450,Pulmonary cryptococcosis,Yes,1,
B451,Cerebral cryptococcosis,Yes,1,
B452,Cutaneous cryptococcosis,No,,
B453,Osseous cryptococcosis,No,,
B457,Disseminated cryptococcosis,Yes,1,
B458,Other forms of cryptococcosis,No,,
B459,"Cryptococcosis, unspecified",No,,
B460,Pulmonary mucormycosis,Yes,1,
B461,Rhinocerebral mucormycosis,Yes,1,
B462,Gastrointestinal mucormycosis,No,,
B463,Cutaneous mucormycosis,No,,
B464,Disseminated mucormycosis,Yes,1,
B465,"Mucormycosis, unspecified",No,,
B468,Other zygomycoses,No,,
B469,"Zygomycosis, unspecified",No,,
B470,Eumycetoma,No,,
B471,Actinomycetoma,No,,
B479,"Mycetoma, unspecified",No,,
B480,Lobomycosis,No,,
B481,Rhinosporidiosis,Yes,1,
